feature	accession_number	experiment_file	control_file
OCT4	GSE11431	OCT4_GSE11431.fastq.bed.sorted.bam	input_GSE11431.fastq.bed.sorted.bam
OCT4	GSE11724	OCT4_GSE11724.fastq.bed.sorted.bam	input_GSE11724.fastq.bed.sorted.bam
OCT4	GSE44286	OCT4_GSE44286.fastq.bed.sorted.bam	input_GSE44286.fastq.bed.sorted.bam
OGT	GSE39154	OGT_GSE39154.fastq.bed.sorted.bam	input_GSE39154.fastq.bed.sorted.bam
P300	GSE11431	P300_GSE11431.fastq.bed.sorted.bam	input_GSE11431.fastq.bed.sorted.bam
P300	GSE28247	P300_GSE28247.fastq.bed.sorted.bam	input_GSE28247.fastq.bed.sorted.bam
P300	GSE29184	P300_GSE29184.fastq.bed.sorted.bam	input_GSE29184.fastq.bed.sorted.bam
PHF19	GSE41589	PHF19_GSE41589.fastq.bed.sorted.bam	input_GSE41589_PHF19.fastq.bed.sorted.bam
PHF19	GSE41609	PHF19_GSE41609.fastq.bed.sorted.bam	input_GSE41609.fastq.bed.sorted.bam
RAD21	GSE25777	RAD21_GSE25777.fastq.bed.sorted.bam	input_GSE25777.fastq.bed.sorted.bam
REST	GSE27841	REST_GSE27841.fastq.bed.sorted.bam	input_GSE27841.fastq.bed.sorted.bam
RING1B	GSE34518	RING1B_GSE34518.fastq.bed.sorted.bam	input_GSE34518.fastq.bed.sorted.bam
RING1B	GSE42466	RING1B_GSE42466.fastq.bed.sorted.bam	input_GSE42466_SUZ_RING.fastq.bed.sorted.bam
RING1B	GSE55697	RING1B_GSE55697.fastq.bed.sorted.bam	input_GSE55697.fastq.bed.sorted.bam
RNAPII	GSE28247	RNAPII_GSE28247.fastq.bed.sorted.bam	input_GSE28247.fastq.bed.sorted.bam
RNAPII	GSE29184	RNAPII_GSE29184.fastq.bed.sorted.bam	input_GSE29184.fastq.bed.sorted.bam
RNAPII_8WG16	GSE34518	RNAPII_8WG16_GSE34518.fastq.bed.sorted.bam	input_GSE34518.fastq.bed.sorted.bam
RNAPII_S2P	GSE34518	RNAPII_S2P_GSE34518.fastq.bed.sorted.bam	input_GSE34518.fastq.bed.sorted.bam
RNAPII_S5P	GSE34518	RNAPII_S5P_GSE34518.fastq.bed.sorted.bam	input_GSE34518.fastq.bed.sorted.bam
RNAPII_S7P	GSE34518	RNAPII_S7P_GSE34518.fastq.bed.sorted.bam	input_GSE34518.fastq.bed.sorted.bam
RYBP	GSE42466	RYBP_GSE42466.fastq.bed.sorted.bam	input_GSE42466_CBX7_RYBP.fastq.bed.sorted.bam
SETDB1	GSE18371	SETDB1_GSE18371.fastq.bed.sorted.bam	input_GSE18371.fastq.bed.sorted.bam
SIN3A	GSE24841	SIN3A_GSE24841_abcam.fastq.bed.sorted.bam	input_GSE24841.fastq.bed.sorted.bam
SIN3A	GSE24841	SIN3A_GSE24841_scruz.fastq.bed.sorted.bam	input_GSE24841.fastq.bed.sorted.bam
SMC1	GSE22562	SMC1_GSE22562.fastq.bed.sorted.bam	input_GSE22562.fastq.bed.sorted.bam
SMC3	GSE22562	SMC3_GSE22562.fastq.bed.sorted.bam	input_GSE22562.fastq.bed.sorted.bam
SOX2	GSE11724	SOX2_GSE11724.fastq.bed.sorted.bam	input_GSE11724.fastq.bed.sorted.bam
SOX2	GSE44286	SOX2_GSE44286.fastq.bed.sorted.bam	input_GSE44286.fastq.bed.sorted.bam
STAT3	GSE11431	STAT3_GSE11431.fastq.bed.sorted.bam	input_GSE11431.fastq.bed.sorted.bam
SUZ12	GSE11431	SUZ12_GSE11431.fastq.bed.sorted.bam	input_GSE11431.fastq.bed.sorted.bam
SUZ12	GSE11724	SUZ12_GSE11724.fastq.bed.sorted.bam	input_GSE11724.fastq.bed.sorted.bam
SUZ12	GSE42466	SUZ12_GSE42466.fastq.bed.sorted.bam	input_GSE42466_SUZ_RING.fastq.bed.sorted.bam
SUZ12	GSE44286	SUZ12_GSE44286.fastq.bed.sorted.bam	input_GSE44286.fastq.bed.sorted.bam
SUZ12	GSE49431	SUZ12_GSE49431.fastq.bed.sorted.bam	input_GSE49431.fastq.bed.sorted.bam
SUZ12	GSE55697	SUZ12_GSE55697.fastq.bed.sorted.bam	input_GSE55697.fastq.bed.sorted.bam
SUZ12	GSE66830	SUZ12_GSE66830.fastq.bed.sorted.bam	input_GSE66830.fastq.bed.sorted.bam
TAF1	GSE30959	TAF1_GSE30959.fastq.bed.sorted.bam	input_GSE30959_TAF1.fastq.bed.sorted.bam
TAF1	GSE36114	TAF1_GSE36114.fastq.bed.sorted.bam	input_GSE36114.fastq.bed.sorted.bam
TAF3	GSE30959	TAF3_GSE30959.fastq.bed.sorted.bam	input_GSE30959_TAF3.fastq.bed.sorted.bam
TBP	GSE30959	TBP_GSE30959.fastq.bed.sorted.bam	input_GSE30959_TBP.fastq.bed.sorted.bam
TCF3	GSE11724	TCF3_GSE11724.fastq.bed.sorted.bam	input_GSE11724.fastq.bed.sorted.bam
TCFCP2I1	GSE11431	TCFCP2I1_GSE11431.fastq.bed.sorted.bam	input_GSE11431.fastq.bed.sorted.bam
TET1	GSE24841	TET1_GSE24841_C.fastq.bed.sorted.bam	input_GSE24841.fastq.bed.sorted.bam
TET1	GSE24841	TET1_GSE24841_N.fastq.bed.sorted.bam	input_GSE24841.fastq.bed.sorted.bam
YY1	GSE68195	YY1_GSE68195.fastq.bed.sorted.bam	input_GSE68195.fastq.bed.sorted.bam
ZC3H11A	GSE36030	ZC3H11A_GSE36030.fastq.bed.sorted.bam	input_GSE36030.fastq.bed.sorted.bam
ZNF384	GSE36030	ZNF384_GSE36030.fastq.bed.sorted.bam	input_GSE36030.fastq.bed.sorted.bam
